model_id,task,format,uid,valid,qa_s_correct,qa_p_correct,qa_s,qa_p,jsem_filled_1_10,jsem_observed,jsem_normalized,judge,qa_micro,chamfer_distance,chamfer_distance_score,iou_csg,f_score_005,f_score_001,normal_consistency,no_open_edge,inverted_normal_score,non_manifold_edge_score,iou_measured,iou_inapplicable,geometry,topology
text2cad,parametric,json,0047/00478097,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.001951,0.8049,0.1126,0.6098,0.1075,0.5767,1.0,1.0,0.985294,True,False,0.400425,0.995098
text2cad,parametric,json,0013/00135353,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.002475,0.7525,0.0876,0.513,0.0713,0.4345,1.0,1.0,1.0,True,False,0.33647499999999997,1.0
text2cad,parametric,json,0062/00621494,True,0,2,0.0,0.25,,,,0.16666666666666666,0.16666666666666666,0.003363,0.6637,0.2763,0.5914,0.0537,0.5745,1.0,1.0,1.0,True,False,0.39205,1.0
text2cad,parametric,json,0016/00169954,True,0,0,0.0,0.0,,,,0.0,0.0,0.010663,0.0,0.0887,0.3207,0.0559,0.4499,1.0,1.0,1.0,True,False,0.148625,1.0
text2cad,parametric,json,0039/00390147,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.008496,0.15039999999999998,0.1441,0.3861,0.0792,0.4139,1.0,1.0,1.0,True,False,0.1969,1.0
text2cad,parametric,json,0089/00895528,True,2,1,0.5,0.125,,,,0.25,0.25,0.00602,0.398,0.2204,0.368,0.0385,0.537,1.0,1.0,1.0,True,False,0.298475,1.0
text2cad,parametric,json,0030/00306122,True,0,0,0.0,0.0,,,,0.0,0.0,0.003086,0.6914,0.3873,0.6197,0.1576,0.5572,1.0,1.0,1.0,True,False,0.448375,1.0
text2cad,parametric,json,0070/00706059,True,1,0,0.25,0.0,,,,0.08333333333333333,0.08333333333333333,0.012677,0.0,0.0932,0.2892,0.0272,0.4029,1.0,1.0,1.0,True,False,0.130825,1.0
text2cad,parametric,json,0008/00086411,True,1,2,0.25,0.25,,,,0.25,0.25,0.000774,0.9226,0.3107,0.9555,0.0755,0.6491,1.0,1.0,1.0,True,False,0.489475,1.0
text2cad,parametric,json,0073/00732007,True,0,0,0.0,0.0,,,,0.0,0.0,0.012409,0.0,0.0326,0.166,0.0247,0.3885,1.0,1.0,1.0,True,False,0.11145000000000001,1.0
text2cad,parametric,json,0010/00103639,True,0,3,0.0,0.375,,,,0.25,0.25,0.008273,0.17269999999999996,0.2097,0.5117,0.3531,0.5439,1.0,1.0,1.0,True,False,0.31985,1.0
text2cad,parametric,json,0019/00199917,True,0,0,0.0,0.0,,,,0.0,0.0,0.010687,0.0,0.0,0.3861,0.0362,0.3998,1.0,1.0,1.0,False,True,0.109,1.0
text2cad,parametric,json,0035/00350534,True,0,1,0.0,0.125,,,,0.08333333333333333,0.08333333333333333,0.005215,0.47850000000000004,0.0858,0.3741,0.1423,0.4662,1.0,1.0,1.0,True,False,0.2932,1.0
